realwordTime,time,timeScale,speed,cruiseControlSpeed,cruiseControlOn,userSteer,userThrottle,userBrake,gameSteer,placement_x,placement_y,placement_yaw,acceleration_x,acceleration_y
2024-05-31 15:04:01.227157,0001-01-13T15:27:00Z,19.0,74.1946,74.18547,True,-0.008119984,0.0,0.0,-0.008119984,21220.45,68.41953,0.280492574,-0.110098094,0.114820153
2024-05-31 15:04:01.253770,0001-01-13T15:27:00Z,19.0,74.1946,74.18547,True,-0.008119984,0.0,0.0,-0.008119984,21220.45,68.41953,0.280492574,-0.110098094,0.114820153
2024-05-31 15:04:01.278292,0001-01-13T15:27:00Z,19.0,74.2079239,74.18547,True,-0.008026394,0.0,0.0,-0.008026394,21219.7734,68.43181,0.2803505,-0.192373842,0.1329148
2024-05-31 15:04:01.303534,0001-01-13T15:27:00Z,19.0,74.21458,74.18547,True,-0.007672058,0.0,0.0,-0.007672058,21219.4355,68.4380341,0.280287027,-0.18896091,0.1299377
2024-05-31 15:04:01.328325,0001-01-13T15:27:00Z,19.0,74.2286758,74.18547,True,-0.006713376,0.0,0.0,-0.006713376,21218.4219,68.45723,0.280096442,-0.117769442,0.07054773
2024-05-31 15:04:01.354603,0001-01-13T15:27:00Z,19.0,74.2317657,74.18547,True,-0.006695106,0.0,0.0,-0.006695106,21218.084,68.46382,0.280031621,-0.1197732,0.03530299
2024-05-31 15:04:01.380297,0001-01-13T15:27:00Z,19.0,74.2339554,74.18547,True,-0.00704333,0.0,0.0,-0.00704333,21217.7461,68.4705353,0.279967427,-0.120977715,0.00659209955
2024-05-31 15:04:01.408783,0001-01-13T15:27:00Z,19.0,74.23848,74.18547,True,-0.00778372772,0.0,0.0,-0.00778372772,21217.07,68.48441,0.279834926,-0.0699215,-0.0585481375
2024-05-31 15:04:01.434506,0001-01-13T15:27:00Z,19.0,74.23731,74.18547,True,-0.00778372772,0.0,0.0,-0.00778372772,21216.7324,68.49157,0.279763579,-0.0039053373,-0.08541664
2024-05-31 15:04:01.460387,0001-01-13T15:27:00Z,19.0,74.23012,74.18547,True,-0.00778372772,0.0,0.0,-0.00778372772,21215.7188,68.51362,0.279529154,0.07120631,-0.125990242
2024-05-31 15:04:01.485695,0001-01-13T15:27:00Z,19.0,74.2262344,74.18547,True,-0.008007693,0.0,0.0,-0.008007693,21215.38,68.52117,0.27945143,0.0474185869,-0.129862338
